WatershedName,SiteName,VisitYear,VisitID
UpperGrandeRonde,dsgn4-000202,2014,2026
UpperGrandeRonde,dsgn4-000213,2014,2140
UpperGrandeRonde,dsgn4-000245,2014,2027
UpperGrandeRonde,dsgn4-000277,2014,2028
WallaWalla,SFT00001-000023,2014,2484
Wenatchee,LWIN0001-000041,2014,2632
Wenatchee,WC503432-000016,2014,2556
Wenatchee,WC503432-000029,2014,2338
Wenatchee,WENMASTER-000195,2014,2563
YankeeFork,YFI00001-000436,2014,2205
YankeeFork,YFI00001-000727,2014,2199
YankeeFork,YFI00001-001411,2014,2200
Entiat,CBW05583-132779,2015,3297
JohnDay,CBW05583-007410,2015,3432
JohnDay,CBW05583-207602,2015,3450
JohnDay,CBW05583-219122,2015,3512
JohnDay,CBW05583-345970,2015,3161
JohnDay,JDW00001-BurrowPitB,2015,3615
JohnDay,JDW00001-PatsCabin2,2015,3620
JohnDay,JDW00001-UpperOwensD,2015,3637
Lemhi,CBW05583-038111,2015,3501
Minam,MNM00001-000393,2015,2898
Region17,LRB_66576,2015,3415
Region17,LRB_BC3220,2015,3413
UpperGrandeRonde,CBW05583-073130,2015,3076
UpperGrandeRonde,CBW05583-335162,2015,2833
UpperGrandeRonde,CBW05583-340138,2015,2855
UpperGrandeRonde,CBW05583-417962,2015,2845
UpperGrandeRonde,CBW05583-456106,2015,3295
UpperGrandeRonde,CBW05583-486202,2015,3077
UpperGrandeRonde,CBW05583-531882,2015,2854
WallaWalla,SFT00001-000024,2015,3464
YankeeFork,YFI00001-000323,2015,3354
YankeeFork,YFI00001-001078,2015,3146
Asotin,ASW00001-NF-F2P2,2016,3949
Entiat,CBW05583-055979,2016,3979
Entiat,CBW05583-141995,2016,3983
Entiat,CBW05583-503467,2016,3991
Lemhi,CBW05583-026031,2016,3905
Methow,CBW05583-014169,2016,4000
UpperGrandeRonde,CBW05583-147626,2016,4286
UpperGrandeRonde,CBW05583-253354,2016,3696
UpperGrandeRonde,CBW05583-269738,2016,3790
UpperGrandeRonde,CBW05583-311466,2016,3697
UpperGrandeRonde,CBW05583-468458,2016,3711
UpperGrandeRonde,CBW05583-491690,2016,3701
UpperGrandeRonde,CBW05583-527786,2016,4230
UpperGrandeRonde,dsgn4-000009,2016,4233
Wenatchee,CBW05583-314219,2016,4086
Wenatchee,WC503432-000038,2016,4024
YankeeFork,YFI00001-000213,2016,3971
YankeeFork,YFI00001-000427,2016,3970
YankeeFork,YFI00001-000559,2016,3968
YankeeFork,YFI00001-000595,2016,4182
YankeeFork,YFI00001-000725,2016,3967
YankeeFork,YFI00001-000835,2016,3963
YankeeFork,YFI00001-000851,2016,4421
YankeeFork,YFI00001-001129,2016,3975
YankeeFork,YFI00001-001512,2016,3960
YankeeFork,YFI00001-001524,2016,3959
YankeeFork,YFI00001-001529,2016,4168
YankeeFork,YFI00001-001633,2016,4181
YankeeFork,YFI00001-001971,2016,4180
YankeeFork,YFI00001-002166,2016,3955
